traveler_id	reservation_id	reservation_date	package_type	departure_date	departure_code	arrival_code	arrival_country	return_date	carrier_id	no_of_adults	no_of_kids
8621551	2b3afbb46027abbd67d6192ba41e8a6da978a2a72ae012f02a8ebdaa6df97858	2018-06-19	STP	2018-07-07	ARN	RHO	Greece	2018-07-14	997	2	0
8121504	c37b93e3ba1e952e61a2d609069258ed092f12315a5b9f517a86918faadae3a6	2017-09-28	STP	2017-10-30	OSL	RHO	Greece	2017-11-06	246	2	0
6368358	31e1885dfe4cd85b1fd6d25ce8d840f7477ffd4a421eba3f9f690822edb1d2de	2017-01-06	STP	2017-09-24	GOT	KGS	Greece	2017-10-08	246	2	0
7882587	defe81eb7a4b6cd405101a35216f55ac352316280865efc4140f055b65414c16	2017-06-04	STP	2017-08-21	OSL	PMI	Spain	2017-08-28	246	1	1
7872488	201ea917cdb5deb0634453ea2e656b127807b83cbc992562636a6e436e405e93	2018-02-11	STP	2018-08-16	ARN	CHQ	Greece	2018-08-30	997	2	1
8531090	92f4acebe11174921c906d506ffa1cae44d412542653f94d0488ba62a7b045de	2018-04-29	STP	2018-09-11	CPH	RHO	Greece	2018-09-25	246	2	0
8497527	7a4fa0d5013afe18b3911f77d54427700a4c4272dd43e7c5fb420a36f94643c2	2018-04-12	STP	2018-07-08	GOT	SPU	Croatia	2018-07-15	246	2	0
8611281	26549ea159312853c8533ca373f8ad0d360c99ba8879da53c87616002e9a8e20	2018-06-12	STP	2018-08-13	OSL	PMI	Spain	2018-08-20	246	2	1
4980928	0c0c3c494afcf3b6a82acba9b8c43ece6210fc150aa666540b7a958cbee8d931	2018-04-24	STP	2018-07-17	GOT	LCA	Cyprus	2018-07-31	997	2	1
7965110	462ca040f0409557f22d8fcc54c91ca1520fe7c307a03028154e19661950441e	2017-07-15	STP	2017-08-13	CPH	PMI	Spain	2017-08-20	246	2	0
8419578	0372dac3f97bdf20e52df85342f75f762212e62c08812e4e9c8c5eaa3f583b35	2018-03-11	STP	2018-09-29	CPH	CHQ	Greece	2018-10-06	246	2	1
7848549	8b0f7b64d96b6531d0ddfd66bb916a5ded1da867d590f08d7717f7a066113632	2017-05-16	STP	2017-06-14	OSL	LPA	Spain	2017-06-21	246	2	0
7051453	af849719e7bd48f89bd6a6b895cab58a6c5ae7b56a5a1ba753d3ca64f27e2b35	2018-02-14	STP	2018-09-13	ARN	CHQ	Greece	2018-09-20	997	2	2
7835125	506d6a321fd7767b63b65e8dbf25e0c6380fec3aee957b2d5347bf91e7299c80	2017-05-06	STP	2017-07-08	HEL	CHQ	Greece	2017-07-15	246	2	1
7219486	84e080cf75097b0bded174130fd8e42faa68702fdd018f7aae55d83eeec71e12	2017-11-22	STP	2018-08-25	GOT	CHQ	Greece	2018-09-01	997	2	0
8281840	f8f59860f01e0a1a6ddacdc6de0cb333abb986c405dd102b824ceeacb74e1e2d	2018-01-10	STP	2018-07-17	CPH	RHO	Greece	2018-07-24	246	2	2
7929102	cb09a0222caae9b4eb1caa0f5f5e537fa7f20a8fc4e89e62b0881893434ebc41	2017-07-01	STP	2017-07-12	OSL	LCA	Cyprus	2017-07-19	246	2	0
8051490	4d8ac3f1d655e2b37f804c969effc8c8a7d397a7e4e74bd56de40d02d3cb31de	2017-08-28	STP	2017-09-21	GOT	SMI	Greece	2017-09-28	246	2	0
8072887	57eebbfa2c5450c6fbf22d39a6bfb8ff87becb99d5c181729f3e8737054846c5	2017-09-07	STP	2017-10-26	ARN	CTA	Italy	2017-11-02	246	2	0
8690479	c8c430837754a4e10c7c7c0df1badf278d195370ef4e06f03b16e9eef0cfa07d	2018-07-23	STP	2018-09-11	ARN	PMI	Spain	2018-09-18	997	1	0
