reservation_id	bought_product
42481675a226db2b0e0f597e783418a7cd1b93d67151a6f5a16cd34ed71e1766	1
7d6f0f6d330034541840b0438e7bdd892dbcce1570a1123f67c1dd6cc3f92afe	1
10dbde3023d5c0c5cac9d5a662c69d89192bb803d19df13f3a87b6c8fb9e66db	1
f7ee9a3c25e5c23a51564ba5ad6ca9f44629e8397cd04103adae99e8ad7380ca	1
8ac0e637cb577875b412efaa492ce05228a9199c060d1c04d7b0da0993a1bec4	1
0f6382da72758ac5884d08bfdd3b9007f2c1709c5e5c65754dcd4dc5a88da7c5	1
a3b39ef5842785592b06253259fdefc347fcd3de7adb4c87e8200640a059c13b	1
a690c28dadb9ae0f2e3761fc02cb180f5738b561d873cff953105046c51c63c4	1
dc40a769efb41e1d7db25b97a05d8a521a6ca2b9f022a5c9410fee4d05e38f9e	1
841c7c1f6cbb851c26dd4f107f2c3354cbfd5ec5651229c41f6d5d8f105c181f	1
68aebff671a90888aaa120133189e91657ea2e236a199e841f2c63c916d6b66a	1
9555c5709dd7fd723e0e47f13ade74aa55239c0d69f48c57b26a40041668be09	1
9c1d43aed4dbdc9180926c7a5bb607973d6047570058ac57eef403ba7e035ebe	1
00e3735593f1a021ae1b5a5aaf4e40a2520e07399a5f23d50df2be1032239fe5	1
498909bdedf74f22e0c0e1963c806ec51db31299052d390a5157c6ad012fc3d4	1
dc9696e52ad73f28e3926cf0072e28cbe2072a2df0f70d0f0210f9f2a48a383e	1
bdc363f89be80aee8e6481acc69b14c79904c6864b11949012b50aea40c0d8d6	1
e53b8757165582aba2a4bcdd6fa4fa94139b126e50d43e0e16970143d690e888	1
b027c3e8d6ee3620627045d00afb547b08a18c6940746df02fa0012e7249c34b	1
c997671698287d6d0b8b21405ed25dbb88910d96e7fa7e3a95b0266b2ad67626	1
6d94af6cbc50101c149457a12a282d185378d14e89626a5d2465943531c0810d	1
f8f271d3f82387d932c0811def022b3e0907cd8074a65bfe02da629f1903429e	1
8dbf01b18fe21edec0090be8a97a07a8355a4371757e31c21ea9a7b0c2794c42	1
4959853c193f9bf0df11af2b3dfcdc520a7e124f246393deda31681ddb93829d	1
143f59fb49401905f20491fa9f136fd69b088b882c601835363563ec28e16eb3	1
146c88f73a3ca2f0dd017324295ca43c9bd815f72e37a39524c47571042172a2	1
